Vmix	Field
-5.092980E-06	-1.340000E-02
-5.064959E-06	-1.320000E-02
-4.826772E-06	-1.300000E-02
-4.791745E-06	-1.280000E-02
-5.050948E-06	-1.260000E-02
-5.149024E-06	-1.240000E-02
-5.191057E-06	-1.220000E-02
-5.373199E-06	-1.200000E-02
-5.085975E-06	-1.180000E-02
-5.113997E-06	-1.160000E-02
-5.163035E-06	-1.140000E-02
-5.366194E-06	-1.120000E-02
-5.247101E-06	-1.100000E-02
-4.728696E-06	-1.080000E-02
-4.763723E-06	-1.060000E-02
-4.980893E-06	-1.040000E-02
-4.896827E-06	-1.020000E-02
-5.142019E-06	-1.000000E-02
-5.085975E-06	-9.800000E-03
-4.959876E-06	-9.600000E-03
-4.917844E-06	-9.400000E-03
-4.917844E-06	-9.200000E-03
-4.770729E-06	-9.000000E-03
-4.819767E-06	-8.800000E-03
-4.875811E-06	-8.600000E-03
-4.714685E-06	-8.400000E-03
-4.896827E-06	-8.200000E-03
-4.784740E-06	-8.000000E-03
-4.518531E-06	-7.800000E-03
-4.420455E-06	-7.600000E-03
-4.371416E-06	-7.400000E-03
-4.343395E-06	-7.200000E-03
-4.224302E-06	-7.000000E-03
-4.336389E-06	-6.800000E-03
-4.490510E-06	-6.600000E-03
-4.609603E-06	-6.400000E-03
-4.693668E-06	-6.200000E-03
-4.728696E-06	-6.000000E-03
-4.623614E-06	-5.800000E-03
-4.546553E-06	-5.600000E-03
-4.665646E-06	-5.400000E-03
-4.707679E-06	-5.200000E-03
-4.742707E-06	-5.000000E-03
-4.665646E-06	-4.800000E-03
-4.532542E-06	-4.600000E-03
-4.427460E-06	-4.400000E-03
-4.448477E-06	-4.200000E-03
-4.567570E-06	-4.000000E-03
-4.413449E-06	-3.800000E-03
-4.616608E-06	-3.600000E-03
-4.581581E-06	-3.400000E-03
-4.469493E-06	-3.200000E-03
-4.469493E-06	-3.000000E-03
-4.413449E-06	-2.800000E-03
-4.322378E-06	-2.600000E-03
-4.273340E-06	-2.400000E-03
-4.385427E-06	-2.200000E-03
-4.469493E-06	-2.000000E-03
-4.371416E-06	-1.800000E-03
-4.392433E-06	-1.600000E-03
